isoform	chrom	strand	length	exons	structuralCategory	associatedGene	associatedTranscript	refLength	refExons	diffToTSS	diffToTTS	subCategory	RTS_stage	AllCanonical	Min_sample_cov	MinCov	MinCovPos	sdCov	FL	nIndels	nIndelsJunc	bite	isoExp	geneExp	ratioExp	FSM_class	coding	ORFlength	CDSlength	CDSstart	CDSend	predit
PB.3742.5	chr2	+	2485	13	full-splice_match	Acbd5	ENSMUST00000114529	3721	13	62	1174	no_subtype	FALSE	canonical	15	215	151	180.729079011	5	0	0	FALSE	469.1175	5206.2525	0.0901065593726	C	coding	509	1662	2	1663	Pred_POS
PB.3742.4	chr2	+	2412	13	novel_not_in_catalog	Acbd5	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	1	1	555	273.3038602	1	3	1	FALSE	22.715	5206.2525	0.00436302311499	C	coding	206	618	972	1589	Pred_NEG
PB.5555.5	chr5	+	3039	17	novel_in_catalog	Chfr	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	5	14	258	317.567315699	1	5	0	FALSE	104.575	2311.5025	0.045241136447	C	coding	406	1218	757	1974	Pred_NEG
PB.5555.4	chr5	+	3012	17	full-splice_match	Chfr	XM_011249446	3142	17	124	6	no_subtype	FALSE	canonical	15	39	188	293.800953028	2	4	0	FALSE	252.0925	2311.5025	0.109060016158	C	coding	524	1947	1	1947	Pred_POS
PB.5555.3	chr5	+	3212	19	full-splice_match	Chfr	ENSMUST00000198066	3201	19	-19	8	no_subtype	FALSE	canonical	5	14	220	292.55255938	2	1	0	FALSE	184.2675	2311.5025	0.0797176295505	C	coding	524	1572	581	2152	Pred_NEG
PB.240.1	chr1	-	2975	5	novel_in_catalog	Dtymk	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	13	29	2334	349.335082693	3	2	0	FALSE	2468.555	3018.4975	0.817809191493	B	coding	143	426	2547	2972	Pred_POS
PB.240.2	chr1	-	3261	4	novel_in_catalog	Dtymk	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	18	258	2909	302.216809592	3	5	0	FALSE	549.9425	3018.4975	0.182190808507	B	coding	154	462	2556	3017	Pred_POS
PB.1280.1	chr11	+	1488	6	novel_in_catalog	Msl1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	26	145	80	110.932411855	2	5	1	FALSE	641	641	1	A	coding	153	459	41	499	Pred_POS
PB.4086.1	chr2	+	1320	5	full-splice_match	Dtwd1	ENSMUST00000170908	1342	5	20	2	no_subtype	FALSE	canonical	8	173	772	68.5638388657	12	0	0	FALSE	1160.5	1160.5	1	A	coding	304	912	106	1017	Pred_POS
PB.4689.1	chr3	+	4432	23	full-splice_match	Dpyd	NM_170778	4437	23	2	3	no_subtype	FALSE	canonical	7	32	2862	15.9059737206	5	0	0	FALSE	514	514	1	A	coding	1025	3075	97	3171	Pred_POS
PB.268.4	chr1	+	2620	4	novel_in_catalog	Ccnt2	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	25	283	2074	81.2588456723	1	1	0	FALSE	109.3925	3146.7575	0.0347635621747	C	coding	136	426	3	428	Pred_NEG
PB.2476.2	chr15	+	1956	5	novel_not_in_catalog	Rbx1	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	9	512	912	4706.30757601	1	2	0	FALSE	150.375	25471.5	0.00590365702844	C	non_coding	NA	NA	NA	NA	Pred_NEG
PB.2476.1	chr15	+	1655	5	full-splice_match	Rbx1	NM_019712	1655	5	-17	17	no_subtype	FALSE	canonical	13	7845	152	1893.51076047	143	0	0	FALSE	25321.125	25471.5	0.994096342972	C	coding	108	324	75	398	Pred_POS
PB.3372.2	chr18	-	1382	7	novel_not_in_catalog	Fbn2	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	145	47.9791621436	1	1	1	FALSE	549.57	1335.75	0.411431779899	B	coding	398	1293	1	1293	Pred_NEG
PB.250.1	chr1	+	3129	7	incomplete-splice_match	Phlpp1	NM_133821	6104	17	2976	-1	internal_fragment	FALSE	canonical	15	329	351	107.004672795	9	5	0	FALSE	1211.9225	1713.7475	0.707176815721	B	coding	689	2220	1	2220	Pred_POS
PB.3372.1	chr18	-	4808	35	incomplete-splice_match	Fbn2	NM_010181	10480	65	4138	1534	5prime_fragment	FALSE	canonical	3	14	1315	34.7131099154	2	2	0	FALSE	786.18	1335.75	0.588568220101	B	coding	1535	4704	1	4704	Pred_NEG
PB.5794.1	chr6	+	5989	12	novel_in_catalog	Ptprz1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	22	603	354	447.450555928	45	4	0	FALSE	5132.66	31816.935	0.161318492809	C	coding	1612	4836	297	5132	Pred_POS
PB.5794.2	chr6	+	5485	29	full-splice_match	Ptprz1	XM_006505018	5544	29	52	7	no_subtype	FALSE	canonical	19	254	2927	525.73947921	41	0	0	FALSE	417.73	31816.935	0.0131291716188	C	coding	1456	4368	318	4685	Pred_POS
PB.5794.3	chr6	+	4449	28	incomplete-splice_match	Ptprz1	XM_006505018	5544	29	70	1025	3prime_fragment	FALSE	canonical	19	254	2909	534.088007729	1	0	0	FALSE	1776.3475	31816.935	0.055830252034	C	coding	1383	4146	300	4445	Pred_POS
PB.5794.4	chr6	+	3055	12	novel_not_in_catalog	Ptprz1	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	5	5	1551	583.430372881	2	2	0	TRUE	65.625	31816.935	0.0020625808237	C	coding	423	1269	297	1565	Pred_NEG
PB.5794.5	chr6	+	5089	30	novel_not_in_catalog	Ptprz1	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	8	41	4679	563.738414515	1	4	0	TRUE	2225.1275	31816.935	0.0699353190369	C	coding	1456	4368	297	4664	Pred_NEG
PB.5794.6	chr6	+	5485	30	full-splice_match	Ptprz1	XM_006505016	5565	30	73	7	no_subtype	TRUE	canonical	15	436	2927	528.227223835	46	0	0	FALSE	128.0425	31816.935	0.00402435055419	C	coding	1463	4389	297	4685	Pred_POS
PB.5794.7	chr6	+	5086	31	novel_not_in_catalog	Ptprz1	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	8	41	4666	563.223756601	2	1	0	TRUE	1450.7425	31816.935	0.0455965510191	C	coding	1463	4389	263	4651	Pred_POS
PB.2975.4	chr17	-	2847	13	full-splice_match	Itfg3	XM_011246236	2870	13	21	2	no_subtype	FALSE	canonical	9	102	230	392.788747293	35	0	0	FALSE	581.55	11171.7525	0.0520553959641	C	coding	555	1665	375	2039	Pred_POS
PB.2975.5	chr17	-	2706	12	full-splice_match	Itfg3	NM_207217	2751	12	23	22	no_subtype	FALSE	canonical	9	264	214	294.84572237	101	1	0	FALSE	1379.8825	11171.7525	0.123515312392	C	coding	555	1911	1	1911	Pred_POS
PB.2975.6	chr17	-	2696	12	novel_in_catalog	Itfg3	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	8	188	209	361.921262155	7	0	0	FALSE	71.59	11171.7525	0.00640812620938	C	coding	549	1647	242	1888	Pred_POS
PB.2975.7	chr17	-	2807	13	full-splice_match	Itfg3	XM_006523391	2854	13	44	3	no_subtype	FALSE	canonical	8	102	209	415.078305865	10	0	0	FALSE	68.5575	11171.7525	0.00613668267356	C	coding	549	1647	354	2000	Pred_POS
PB.767.2	chr10	+	5446	10	full-splice_match	Kitl	NM_013598	5450	10	3	1	no_subtype	FALSE	canonical	5	65	798	72.5741000633	12	1	0	FALSE	1384.8475	4102.005	0.337602587028	C	coding	273	819	195	1013	Pred_POS
PB.2975.1	chr17	-	2758	13	novel_not_in_catalog	Itfg3	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	8	51	264	429.173624539	1	5	1	FALSE	222.05	11171.7525	0.0198760221371	C	coding	587	1761	183	1943	Pred_POS
PB.2975.2	chr17	-	2806	13	novel_not_in_catalog	Itfg3	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	8	51	298	402.654939123	4	2	0	FALSE	300.4175	11171.7525	0.0268908123412	C	coding	593	1995	1	1995	Pred_POS
PB.2975.3	chr17	-	2655	12	novel_in_catalog	Itfg3	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	8	246	1535	348.84667119	27	0	0	FALSE	1618.215	11171.7525	0.144848805055	C	coding	549	1845	3	1847	Pred_POS
PB.6291.1	chr7	-	1541	2	full-splice_match	Plekhf1	NM_024413	1559	2	12	6	no_subtype	FALSE	canonical	8	271	42	None	10	0	0	FALSE	832.75	832.75	1	A	coding	279	894	2	895	Pred_POS
PB.6006.3	chr6	-	2128	17	full-splice_match	Uba3	ENSMUST00000164744	2465	17	-7	344	no_subtype	FALSE	canonical	9	250	35	361.119093929	4	1	0	FALSE	3810.355	6717.2475	0.56724945746	C	coding	448	1344	16	1359	Pred_POS
PB.6006.2	chr6	-	2704	17	full-splice_match	Uba3	XM_011241290	2603	17	-120	19	no_subtype	FALSE	canonical	4	8	610	398.808224589	1	7	0	FALSE	23.055	6717.2475	0.00343220939827	C	coding	441	1323	612	1934	Pred_NEG
PB.6006.1	chr6	-	2359	18	full-splice_match	Uba3	ENSMUST00000089287	2443	18	77	7	no_subtype	FALSE	canonical	9	644	75	323.241395864	9	3	0	FALSE	2883.8375	6717.2475	0.429318333142	C	coding	462	1386	14	1399	Pred_POS
PB.5575.2	chr5	+	4958	28	full-splice_match	Ube3b	XM_006530125	5175	28	209	8	no_subtype	FALSE	canonical	10	80	145	156.489616269	2	2	1	FALSE	1034.9375	3139.75	0.329624173899	C	coding	1070	3210	258	3467	Pred_POS
PB.1521.1	chr12	+	4604	5	full-splice_match	Sypl	NM_198710	4615	5	10	1	no_subtype	FALSE	canonical	19	900	292	226.402296808	27	5	0	FALSE	5207.75	5207.75	1	A	coding	243	822	3	824	Pred_POS
PB.3921.1	chr2	+	2380	9	full-splice_match	Cdca7	NM_025866	2361	9	-22	3	no_subtype	FALSE	canonical	6	216	115	128.813819134	15	0	0	FALSE	4421.5	4421.5	1	A	coding	382	1239	2	1240	Pred_POS
PB.3289.1	chr18	+	2983	19	full-splice_match	Kif20a	NM_009004	3473	19	12	478	no_subtype	TRUE	canonical	4	326	2058	183.885834147	126	0	0	FALSE	5758.7225	7798.9075	0.738401179909	C	coding	887	2796	1	2796	Pred_POS
PB.1591.2	chr12	+	2781	8	full-splice_match	Tmx1	ENSMUST00000021471	2795	8	7	7	no_subtype	FALSE	canonical	11	1259	725	565.744642043	96	0	0	FALSE	11490.7125	11490.7125	1	A	coding	278	834	68	901	Pred_POS
PB.3289.3	chr18	+	3431	18	novel_in_catalog	Kif20a	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	326	2524	186.887666795	2	4	0	FALSE	215.0525	7798.9075	0.0275746955583	C	coding	748	2244	1019	3262	Pred_NEG
PB.3289.2	chr18	+	3151	19	full-splice_match	Kif20a	ENSMUST00000166044	3567	19	-51	467	no_subtype	FALSE	canonical	4	131	282	216.6541022	5	0	0	FALSE	626.785	7798.9075	0.080368307997	C	coding	887	2661	305	2965	Pred_POS
PB.3289.5	chr18	+	2887	19	full-splice_match	Kif20a	NM_009004	3473	19	109	477	no_subtype	FALSE	canonical	4	326	1961	183.885834147	1	3	1	FALSE	941.2075	7798.9075	0.120684531776	C	coding	887	2697	3	2699	Pred_NEG
PB.3289.4	chr18	+	2992	19	novel_not_in_catalog	Kif20a	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	4	75	120	223.727512836	4	3	0	FALSE	257.14	7798.9075	0.0329712847601	C	coding	887	2802	2	2803	Pred_POS
PB.5549.1	chr5	+	1656	3	incomplete-splice_match	Fgfrl1	ENSMUST00000112560	2318	6	686	-24	internal_fragment	FALSE	canonical	13	155	169	16.4924225025	3	1	0	FALSE	1000	1000	1	A	coding	349	1047	4	1050	Pred_POS
PB.2969.1	chr17	-	2588	16	incomplete-splice_match	Rhot2	ENSMUST00000043897	3189	19	597	4	5prime_fragment	FALSE	canonical	18	215	147	187.384631173	1	3	2	FALSE	1752.25	1752.25	1	A	coding	493	1677	2	1678	Pred_POS
PB.6101.2	chr6	-	4284	31	novel_in_catalog	Ncapd2	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	5	19	1067	205.601556414	4	0	0	FALSE	1769.4275	10749.7425	0.164601849765	C	coding	1326	3978	81	4058	Pred_POS
PB.3925.1	chr2	-	1640	7	full-splice_match	Chn1	ENSMUST00000102677	3760	7	519	1601	no_subtype	FALSE	canonical	23	521	467	90.2330316458	7	0	0	FALSE	2590	2590	1	A	coding	299	957	2	958	Pred_POS
PB.6882.3	chr8	-	1813	9	full-splice_match	Rad23a	XM_011248328	1920	9	98	9	no_subtype	FALSE	canonical	9	114	909	947.75418754	1	0	0	FALSE	2477.4875	12279.25	0.201762119022	C	coding	366	1098	88	1185	Pred_POS
PB.6882.2	chr8	-	1371	7	incomplete-splice_match	Rad23a	ENSMUST00000003911	2074	9	425	278	5prime_fragment	FALSE	canonical	12	676	626	694.054752883	1	0	0	FALSE	129.1425	12279.25	0.010517132561	C	coding	197	735	3	737	Pred_NEG
PB.6882.1	chr8	-	1829	9	full-splice_match	Rad23a	ENSMUST00000109761	1842	9	10	3	no_subtype	FALSE	canonical	12	676	1068	818.196186743	33	0	0	FALSE	6617.4275	12279.25	0.53891137488	C	coding	363	1089	91	1179	Pred_POS
PB.4647.1	chr3	-	2658	2	antisense	novelGene_Fam212b_AS	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	0	0	2601	None	3	2	1	FALSE	2162.6075	2162.6075	1	A	coding	220	660	1950	2609	Pred_NEG
PB.6882.5	chr8	-	1327	9	novel_not_in_catalog	Rad23a	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	9	133	1035	915.777265496	1	6	0	TRUE	2857.89	12279.25	0.23274141336	C	coding	339	1017	91	1107	Pred_NEG
PB.6882.4	chr8	-	1558	10	novel_not_in_catalog	Rad23a	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	1315	935.64843825	1	2	0	TRUE	197.3025	12279.25	0.0160679601767	C	coding	363	1089	87	1175	Pred_NEG
PB.5238.1	chr4	-	3300	23	full-splice_match	Clcn6	ENSMUST00000030879	3306	23	4	2	no_subtype	FALSE	canonical	14	93	996	83.330666624	3	1	0	FALSE	38.3575	2516.5	0.015242400159	C	coding	870	2610	43	2652	Pred_POS
PB.609.1	chr10	+	1464	11	full-splice_match	Ascc1	NM_026937	1488	11	18	6	no_subtype	FALSE	canonical	9	132	732	176.357591274	26	0	0	FALSE	2162.5	2162.5	1	A	coding	356	1068	110	1177	Pred_POS
PB.6690.1	chr8	-	2345	7	novel_in_catalog	Ankrd10	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	7	22	486	57.2101389616	4	4	0	FALSE	1148.625	1503.7525	0.763839129112	B	coding	276	828	614	1441	Pred_POS
PB.6488.2	chr7	-	2502	12	novel_in_catalog	Tpp1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	16	585	201	903.253563514	4	3	0	FALSE	14504.7125	17772.75	0.816120887313	C	coding	571	1713	86	1798	Pred_NEG
PB.5487.2	chr5	+	2080	10	full-splice_match	Paics	XM_006535181	2109	10	25	4	no_subtype	FALSE	canonical	7	58	62	1175.2335938	3	0	0	FALSE	15255.57	22200.9025	0.687159902621	C	coding	425	1275	114	1388	Pred_POS
PB.4636.1	chr3	+	2746	21	full-splice_match	Ptpn22	ENSMUST00000029433	2743	21	-6	3	no_subtype	FALSE	canonical	1	1	406	5.29150262213	4	1	0	FALSE	69.75	69.75	1	A	coding	802	2406	134	2539	Pred_NEG
PB.4992.1	chr4	+	2743	16	incomplete-splice_match	Cachd1	NM_198037	4966	27	2220	3	internal_fragment	FALSE	canonical	12	47	366	133.21786667	5	0	0	FALSE	737.25	737.25	1	A	coding	681	2094	1	2094	Pred_POS
PB.4534.2	chr3	+	1404	9	full-splice_match	Scamp3	NM_011886	1482	9	68	10	no_subtype	FALSE	canonical	11	665	105	351.434204368	2	9	0	FALSE	3501.9	6242.75	0.560954707461	C	coding	349	1047	40	1086	Pred_POS
PB.4534.1	chr3	+	1389	9	full-splice_match	Scamp3	ENSMUST00000120697	1475	9	61	25	no_subtype	TRUE	canonical	11	649	185	381.776112401	81	0	0	FALSE	2740.85	6242.75	0.439045292539	C	coding	350	1050	42	1091	Pred_POS
PB.2567.1	chr15	-	4225	11	full-splice_match	Lima1	NM_001113545	4245	11	13	7	no_subtype	FALSE	canonical	6	47	260	69.8999284692	14	0	0	FALSE	760.4525	2900	0.262225	C	coding	753	2259	142	2400	Pred_POS
PB.6038.1	chr6	+	3061	19	full-splice_match	Atg7	NM_028835	3761	19	20	680	no_subtype	FALSE	canonical	11	285	930	152.518851294	38	0	0	FALSE	3569.74	3700.5	0.964664234563	C	coding	698	2145	3	2147	Pred_POS
PB.6038.2	chr6	+	1471	4	novel_in_catalog	Atg7	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	16	531	324	154.819249449	1	3	0	FALSE	130.76	3700.5	0.0353357654371	C	coding	143	429	130	558	Pred_NEG
PB.2567.2	chr15	-	4083	8	full-splice_match	Lima1	ENSMUST00000109024	4109	8	17	9	no_subtype	FALSE	canonical	6	86	1137	59.1016074231	20	0	0	FALSE	2139.5475	2900	0.737775	C	coding	593	1779	484	2262	Pred_POS
PB.832.1	chr10	-	2335	4	full-splice_match	Suox	NM_173733	2349	4	3	11	no_subtype	FALSE	canonical	13	257	128	172.336879396	7	1	0	FALSE	3401.25	3401.25	1	A	coding	546	1638	76	1713	Pred_POS
PB.5253.1	chr4	-	2987	12	novel_in_catalog	Ube4b	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	16	193	1018	124.261820363	4	3	0	FALSE	480.5425	1503.995	0.319510703161	C	coding	491	1725	2	1726	Pred_POS
PB.6285.2	chr7	+	2592	19	full-splice_match	Cep89	ENSMUST00000079414	2610	19	12	6	no_subtype	FALSE	canonical	14	77	1485	151.973681932	44	1	0	FALSE	1505.4275	2187.5	0.688195428571	C	coding	791	2373	102	2474	Pred_POS
PB.6285.3	chr7	+	2549	19	novel_not_in_catalog	Cep89	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	0	0	103	163.847490063	1	2	0	FALSE	52.825	2187.5	0.0241485714286	C	coding	673	2019	419	2437	Pred_NEG
PB.5058.1	chr4	-	1769	10	novel_in_catalog	Rnf220	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	11	102	227	927.654569331	2	2	0	FALSE	504.25	504.25	1	A	coding	271	930	3	932	Pred_POS
PB.6285.1	chr7	+	2796	20	full-splice_match	Cep89	ENSMUST00000141704	2825	20	25	4	no_subtype	FALSE	canonical	7	16	2180	160.458717432	1	10	1	FALSE	248.005	2187.5	0.113373714286	C	coding	639	1917	109	2025	Pred_NEG
PB.6285.4	chr7	+	2513	17	novel_in_catalog	Cep89	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	14	56	1975	163.981706297	9	1	0	FALSE	320.705	2187.5	0.146608	C	coding	639	1917	101	2017	Pred_POS
PB.6285.5	chr7	+	1440	12	novel_not_in_catalog	Cep89	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	4	5	1327	183.111987592	1	0	0	FALSE	60.5375	2187.5	0.0276742857143	C	coding	427	1371	3	1373	Pred_NEG
PB.7207.1	chr9	+	2496	14	full-splice_match	Ddx6	NM_007841	6008	14	-41	3553	no_subtype	FALSE	canonical	8	30	77	68.2934843159	2	1	0	FALSE	409	409	1	A	coding	483	1449	348	1796	Pred_POS
PB.398.1	chr1	-	3054	5	full-splice_match	Rgs4	NM_009062	2941	5	-122	9	no_subtype	FALSE	canonical	19	186	285	37.5366487582	31	3	0	FALSE	1615.4	1782.5	0.906255259467	C	coding	205	615	242	856	Pred_POS
PB.5689.3	chr5	-	2886	23	full-splice_match	Cux1	ENSMUST00000176216	2821	23	-69	4	no_subtype	FALSE	canonical	11	193	938	300.667590538	1	2	1	FALSE	1118.255	3512.5	0.318364412811	C	coding	678	2034	78	2111	Pred_POS
PB.3806.1	chr2	-	1826	12	full-splice_match	D2Wsu81e	NM_172660	1838	12	11	1	no_subtype	FALSE	canonical	9	216	940	277.001805048	21	0	0	FALSE	4180.1375	5801.5	0.720527018874	C	coding	385	1155	24	1178	Pred_POS
PB.3806.2	chr2	-	1999	11	full-splice_match	D2Wsu81e	ENSMUST00000144093	2010	11	11	0	no_subtype	FALSE	canonical	9	216	1138	252.578700606	4	1	0	FALSE	1136.505	5801.5	0.195898474532	C	coding	345	1035	342	1376	Pred_POS
PB.268.9	chr1	+	4446	3	full-splice_match	Ccnt2	ENSMUST00000126850	4500	3	55	-1	no_subtype	FALSE	canonical	28	386	249	48.0	7	0	0	FALSE	71.1	3146.7575	0.022594686753	C	coding	136	417	1	417	Pred_POS
PB.4693.4	chr3	+	1515	4	full-splice_match	Cnn3	ENSMUST00000196671	1053	4	375	-837	no_subtype	FALSE	canonical	17	2463	141	81.7985329942	2	2	0	FALSE	6549.86	18182.5	0.36022879142	C	coding	233	747	1	747	Pred_POS
PB.4693.1	chr3	+	2019	7	full-splice_match	Cnn3	NM_028044	2003	7	-22	6	no_subtype	FALSE	canonical	17	1784	499	327.723969218	111	0	0	FALSE	11408.8475	18182.5	0.627463082634	C	coding	330	990	254	1243	Pred_POS
PB.4693.3	chr3	+	1923	8	novel_not_in_catalog	Cnn3	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	4	8	76	850.800211566	1	3	0	TRUE	139.4475	18182.5	0.00766932490032	C	coding	330	990	165	1154	Pred_NEG
PB.4693.2	chr3	+	1716	8	novel_not_in_catalog	Cnn3	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	8	43	132	839.369406162	1	0	0	TRUE	84.345	18182.5	0.00463880104496	C	coding	330	990	202	1191	Pred_NEG
PB.5870.1	chr6	-	1404	8	novel_not_in_catalog	Igf2bp3	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	2	10	418	25.3771550809	1	1	0	FALSE	422.0625	549.25	0.768434228493	B	coding	236	708	500	1207	Pred_NEG
PB.7550.2	chr9	-	2644	5	full-splice_match	2010315B03Rik	NM_001243117	2695	5	37	14	no_subtype	FALSE	canonical	9	60	300	11.4891252931	4	2	1	FALSE	582.81	784.05	0.743332695619	C	coding	341	1023	96	1118	Pred_POS
PB.5555.2	chr5	+	3157	18	full-splice_match	Chfr	ENSMUST00000112519	3159	18	-4	6	no_subtype	FALSE	canonical	19	118	1784	274.936356272	17	0	0	FALSE	1270.82	2311.5025	0.549780932532	C	coding	664	1992	102	2093	Pred_POS
PB.947.1	chr11	-	2080	11	full-splice_match	Ublcp1	ENSMUST00000102795	2088	11	0	8	no_subtype	FALSE	canonical	8	266	446	175.670145443	16	0	0	FALSE	2684.9625	3516.5	0.763532631878	C	coding	318	954	115	1068	Pred_POS
PB.947.2	chr11	-	2019	11	full-splice_match	Ublcp1	XM_006534522	2090	11	63	8	no_subtype	FALSE	canonical	12	139	27	202.632672588	2	0	0	FALSE	831.5375	3516.5	0.236467368122	C	coding	318	954	54	1007	Pred_POS
PB.4294.4	chr2	-	1609	3	full-splice_match	Ube2v1	ENSMUST00000060645	1586	3	-29	6	no_subtype	FALSE	canonical	7	173	211	2454.49994907	13	1	1	FALSE	8857.9625	52769.9825	0.16785987185	C	coding	105	354	2	355	Pred_POS
PB.3712.1	chr2	-	1624	13	full-splice_match	Cdc123	NM_133837	1623	13	-5	4	no_subtype	FALSE	canonical	11	1267	294	826.311079437	72	0	0	FALSE	3421.4775	11563.25	0.295892374549	C	coding	336	1008	58	1065	Pred_POS
PB.3712.2	chr2	-	1228	12	full-splice_match	Cdc123	XM_006497564	1220	12	-19	11	no_subtype	FALSE	canonical	8	170	274	1040.58060716	5	0	0	FALSE	8141.7725	11563.25	0.704107625451	C	coding	325	975	71	1045	Pred_POS
PB.4740.1	chr3	-	4420	21	novel_in_catalog	Mttp	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	5	14	436	45.1442133612	3	7	0	FALSE	388.1825	1671.5	0.232236015555	C	coding	894	2682	538	3219	Pred_NEG
PB.4740.2	chr3	-	4263	20	full-splice_match	Mttp	NM_001163457	4272	20	5	4	no_subtype	FALSE	canonical	7	34	1726	36.3318042492	9	1	0	FALSE	1256.5875	1671.5	0.751772360156	C	coding	909	2727	338	3064	Pred_POS
PB.5870.2	chr6	-	3217	3	novel_in_catalog	Igf2bp3	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	38	478	0.0	3	3	0	FALSE	127.1875	549.25	0.231565771507	B	coding	125	375	243	617	Pred_NEG
