isoform	chrom	strand	length	exons	structural_category	associated_gene	associated_transcript	ref_length	ref_exons	diff_to_TSS	diff_to_TTS	subcategory	RTS_stage	all_canonical	min_sample_cov	min_cov	min_cov_pos	sd_cov	FL	n_indels	n_indels_junc	bite	iso_exp	gene_exp	ratio_exp	FSM_class	coding	ORF_length	CDS_length	CDS_start	CDS_end	perc_A_downstream_TTS
PB.2741.1	chr16	+	1725	8	novel_in_catalog	Slc12a8	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	1	2	1072	3.31662479036	2	3	0	FALSE	55.75	55.75	1.0	A	coding	459	1377	35	1411	20.0
PB.2686.1	chr16	-	1277	8	incomplete-splice_match	Abcc5	ENSMUST00000115547	5372	31	-17	4112	internal_fragment	FALSE	canonical	4	30	982	157.752971446	2	2	0	FALSE	922.17	4958.2575	0.185986710049	C	coding	373	1119	158	1276	20.0
PB.2686.3	chr16	-	4558	5	full-splice_match	Abcc5	ENSMUST00000134962	4526	5	-36	4	multi-exon	FALSE	canonical	4	262	113	96.7987603226	3	2	0	FALSE	357.7725	4958.2575	0.0721569018955	C	coding	204	612	166	777	15.0
PB.2686.2	chr16	-	1776	2	novel_in_catalog	Abcc5	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	145	1468	NA	1	3	0	FALSE	1219.9775	4958.2575	0.246049645465	C	non_coding	NA	NA	NA	NA	15.0
PB.2857.1	chr16	-	1176	6	full-splice_match	Hmgn1	NM_008251	1200	6	20	4	multi-exon	FALSE	canonical	4	451	176	153.769307731	18	0	0	FALSE	3511.4175	5103.0	0.688108465608	C	non_coding	NA	NA	NA	NA	30.0
PB.2721.1	chr16	+	1676	7	full-splice_match	Bdh1	NM_001122683	3117	7	35	1406	multi-exon	FALSE	canonical	4	154	326	65.3681879816	16	0	0	FALSE	1748.25	1748.25	1.0	A	coding	343	1029	244	1272	10.0
PB.2820.4	chr16	+	5402	7	novel_not_in_catalog	Cxadr	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	3	3	53	93.1718841711	1	3	0	FALSE	157.2425	2070.2525	0.0759532955521	C	coding	174	522	584	1105	20.0
PB.2743.1	chr16	+	1926	10	incomplete-splice_match	Itgb5	ENSMUST00000115028	3090	15	1168	-4	internal_fragment	FALSE	canonical	4	33	70	28.2134719593	3	2	0	FALSE	737.5	737.5	1.0	A	coding	486	1458	68	1525	20.0
PB.2688.2	chr16	+	1402	2	genic	Dvl3	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	31	NA	1	2	0	TRUE	646.1225	5012.5025	0.128902180099	B	non_coding	NA	NA	NA	NA	35.0
PB.2688.1	chr16	+	2429	1	genic	Dvl3	novel	NA	NA	NA	NA	mono-exon	FALSE	canonical	NA	NA	NA	NA	3	2	NA	FALSE	4366.38	5012.5025	0.871097819901	B	non_coding	NA	NA	NA	NA	35.0
PB.2662.1	chr16	+	5023	3	full-splice_match	Crkl	NM_007764	5050	3	16	11	multi-exon	FALSE	canonical	3	10	788	21.4941852602	10	4	0	FALSE	1775.75	1775.75	1.0	A	coding	303	909	478	1386	15.0
PB.2849.1	chr16	-	4458	1	antisense	novelGene_Slc5a3_AS	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	NA	NA	NA	NA	3	0	NA	FALSE	1979.74	1979.74	1.0	A	non_coding	NA	NA	NA	NA	90.0
PB.2851.2	chr16	+	4018	17	full-splice_match	Morc3	ENSMUST00000044068	4178	17	159	1	multi-exon	FALSE	canonical	4	7	786	70.5549431295	21	0	0	FALSE	2909.1275	2941.25	0.989078623034	C	coding	942	2826	31	2856	45.0
PB.2851.1	chr16	+	1213	10	incomplete-splice_match	Morc3	ENSMUST00000044068	4178	17	135	2830	3prime_fragment	FALSE	canonical	4	7	810	64.1326749793	1	0	0	FALSE	32.1225	2941.25	0.0109213769656	C	coding	386	1158	55	1212	60.0
PB.2680.1	chr16	-	2371	7	full-splice_match	Klhl6	ENSMUST00000058839	2386	7	21	-6	multi-exon	FALSE	canonical	2	12	300	27.4954541697	5	0	0	FALSE	675.5	675.5	1.0	A	coding	610	1830	41	1870	10.0
PB.2676.1	chr16	+	2767	3	novel_in_catalog	Gnb1l	novel	NA	NA	NA	NA	no_combination_of_known_junctions	FALSE	canonical	3	5	125	8.0	2	4	0	FALSE	350.25	350.25	1.0	A	non_coding	NA	NA	NA	NA	25.0
PB.2831.1	chr16	+	1253	3	novel_in_catalog	Sod1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	13999	1083	1014.49987679	1	0	0	FALSE	24221.08	24221.08	1.0	A	non_coding	NA	NA	NA	NA	25.0
PB.2802.1	chr16	+	4800	24	full-splice_match	Senp7	ENSMUST00000089362	4883	24	74	9	multi-exon	FALSE	canonical	3	5	2374	19.2353840617	6	5	0	FALSE	883.0	883.0	1.0	A	coding	1037	3111	57	3167	35.0
PB.2757.1	chr16	+	1645	13	full-splice_match	Iqcb1	XM_006522250	1582	13	43	-106	multi-exon	FALSE	canonical	4	15	266	33.0756708171	3	1	0	FALSE	519.5	519.5	1.0	A	coding	442	1326	167	1492	55.0
PB.2843.4	chr16	-	3284	22	full-splice_match	Gart	NM_010256	3329	22	31	14	multi-exon	FALSE	canonical	4	67	2057	195.665530945	57	0	0	FALSE	4857.785	7197.7525	0.674903033968	C	coding	1010	3030	104	3133	50.0
PB.2843.5	chr16	-	1867	11	full-splice_match	Gart	ENSMUST00000120450	1865	11	-8	6	multi-exon	FALSE	canonical	4	311	60	164.72704696	4	0	0	FALSE	822.96	7197.7525	0.114335690203	C	coding	433	1299	106	1404	15.0
PB.2843.2	chr16	-	2943	19	novel_in_catalog	Gart	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	67	1715	198.680648278	2	0	0	FALSE	106.915	7197.7525	0.0148539422549	C	coding	897	2691	101	2791	50.0
PB.2738.1	chr16	+	2621	14	full-splice_match	Snx4	NM_080557	2442	14	-56	-123	multi-exon	FALSE	canonical	4	45	658	334.043410353	75	0	0	FALSE	4443.1275	6817.75	0.651699974332	C	coding	450	1350	62	1411	65.0
PB.2843.1	chr16	-	2862	19	novel_not_in_catalog	Gart	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	326	226.71788637	1	0	0	TRUE	885.295	7197.7525	0.122996032442	C	coding	778	2334	374	2707	50.0
PB.2755.1	chr16	-	2530	8	full-splice_match	Cd86	NM_019388	2539	8	0	9	multi-exon	FALSE	canonical	1	3	1028	4.472135955	4	0	0	FALSE	89.5	89.5	1.0	A	coding	309	927	117	1043	20.0
PB.2698.1	chr16	-	3031	9	full-splice_match	Liph	ENSMUST00000074230	3703	9	16	656	multi-exon	FALSE	canonical	4	59	785	47.9791621436	3	7	0	FALSE	372.4975	2030.75	0.183428536255	C	coding	421	1263	158	1420	55.0
PB.2698.2	chr16	-	3097	10	full-splice_match	Liph	ENSMUST00000060673	3793	10	36	660	multi-exon	FALSE	canonical	4	128	663	33.1360830516	19	2	0	FALSE	1658.2525	2030.75	0.816571463745	C	coding	451	1353	138	1490	50.0
PB.2710.1	chr16	+	4357	1	incomplete-splice_match	Lpp	ENSMUST00000115314	14854	8	7718	2780	mono-exon	FALSE	canonical	NA	NA	NA	NA	5	1	NA	FALSE	437.5	437.5	1.0	A	coding	104	312	2528	2839	90.0
PB.2841.1	chr16	+	1528	1	incomplete-splice_match	Ifnar1	NM_010508	7014	11	5479	8	mono-exon	FALSE	canonical	NA	NA	NA	NA	9	0	NA	FALSE	4846.25	7146.75	0.678105432539	C	non_coding	NA	NA	NA	NA	30.0
PB.2663.1	chr16	+	3114	21	full-splice_match	Lztr1	ENSMUST00000023444	3112	21	-8	6	multi-exon	FALSE	canonical	4	46	1844	107.494185889	44	0	0	FALSE	3272.74	4665.4975	0.701477173656	C	coding	837	2511	69	2579	15.0
PB.2690.4	chr16	+	2441	21	novel_not_in_catalog	Abcf3	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	1977	227.686187548	1	3	1	TRUE	5353.3325	8804.245	0.608039928466	C	coding	668	2004	1	2004	5.0
PB.2690.5	chr16	+	1597	14	novel_in_catalog	Abcf3	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	180	1138	226.687008891	1	0	0	FALSE	836.39	8804.245	0.0949984922046	C	coding	390	1170	125	1294	5.0
PB.2787.2	chr16	+	2667	5	full-splice_match	Naa50	ENSMUST00000161326	4487	5	230	1590	multi-exon	FALSE	canonical	4	43	29	25.5734237051	4	4	0	FALSE	1103.35	1192.0	0.925629194631	C	coding	169	507	22	528	20.0
PB.2690.1	chr16	+	3019	21	full-splice_match	Abcf3	ENSMUST00000003319	3090	21	70	1	multi-exon	TRUE	canonical	4	180	1997	202.563570269	99	0	0	FALSE	1056.955	8804.245	0.120050611949	C	coding	709	2127	27	2153	35.0
PB.2690.2	chr16	+	1639	15	novel_not_in_catalog	Abcf3	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	38	500	248.050398105	1	1	0	TRUE	536.42	8804.245	0.0609274276216	C	coding	250	750	588	1337	5.0
PB.2690.3	chr16	+	3164	19	novel_in_catalog	Abcf3	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	180	2706	211.549048686	3	1	0	FALSE	1021.1475	8804.245	0.115983539758	C	coding	529	1587	14	1600	5.0
PB.2696.2	chr16	+	1436	2	novel_in_catalog	Vps8	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	15	25	NA	1	0	0	FALSE	20.3425	1862.0	0.0109250805585	C	non_coding	NA	NA	NA	NA	85.0
PB.2696.3	chr16	+	5122	48	novel_not_in_catalog	Vps8	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	0	0	4248	33.1209903234	1	5	0	FALSE	28.1625	1862.0	0.0151248657358	C	coding	1334	4002	250	4251	10.0
PB.2696.1	chr16	+	4961	47	full-splice_match	Vps8	ENSMUST00000117598	4935	47	-26	0	multi-exon	TRUE	canonical	3	10	2003	30.1993377411	38	0	0	FALSE	1813.495	1862.0	0.973950053706	C	coding	1427	4281	276	4556	10.0
PB.2788.2	chr16	+	3049	18	full-splice_match	Spice1	NM_144550	4342	18	30	1263	multi-exon	FALSE	canonical	3	16	690	26.3058928759	6	1	0	FALSE	311.31	787.25	0.395439822166	C	coding	860	2580	77	2656	40.0
PB.2751.1	chr16	+	4998	14	full-splice_match	Kpna1	ENSMUST00000004054	5039	14	40	1	multi-exon	FALSE	canonical	4	87	154	53.8144961883	36	2	0	FALSE	3470.0	3470.0	1.0	A	coding	538	1614	160	1773	25.0
PB.2694.1	chr16	+	1459	1	genic_intron	novelGene_3	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	NA	NA	NA	NA	2	1	NA	FALSE	291.5	291.5	1.0	A	non_coding	NA	NA	NA	NA	85.0
PB.2718.2	chr16	-	1456	9	novel_not_in_catalog	Lsg1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	470	144.651304868	1	1	0	TRUE	458.215	4647.25	0.0985991715531	C	coding	143	429	715	1143	25.0
PB.2692.1	chr16	+	3146	19	full-splice_match	Ece2	ENSMUST00000003898	3152	19	6	0	multi-exon	TRUE	canonical	3	13	2194	13.3416640641	4	6	0	FALSE	620.5	620.5	1.0	A	coding	763	2289	176	2464	10.0
PB.2599.1	chr16	+	2566	2	full-splice_match	Zfp263	ENSMUST00000162207	2452	2	-117	3	multi-exon	FALSE	canonical	4	164	496	NA	22	0	0	FALSE	3048.6575	3048.6575	1.0	A	coding	392	1176	472	1647	55.0
PB.2785.1	chr16	+	3047	17	full-splice_match	2610015P09Rik	XM_011245863	3064	17	12	5	multi-exon	FALSE	canonical	3	5	1191	32.4191301549	2	4	0	FALSE	526.0	526.0	1.0	A	coding	896	2688	77	2764	20.0
PB.2787.1	chr16	+	1675	5	full-splice_match	Naa50	ENSMUST00000063520	3557	5	9	1873	multi-exon	FALSE	canonical	4	13	217	34.5543050863	1	0	0	FALSE	88.65	1192.0	0.0743708053691	C	coding	168	504	210	713	40.0
PB.2772.4	chr16	-	2740	11	full-splice_match	Poglut1	XR_875792	1274	11	65	-1531	multi-exon	FALSE	canonical	4	28	824	198.524557675	4	1	0	FALSE	268.205	6730.0	0.0398521545319	C	coding	280	840	25	864	30.0
PB.2669.1	chr16	-	2828	2	genic_intron	novelGene_1	novel	NA	NA	NA	NA	no_subtype	TRUE	non_canonical	0	0	35	NA	2	1	0	FALSE	202.25	202.25	1.0	A	non_coding	NA	NA	NA	NA	85.0
PB.2631.3	chr16	-	2852	9	novel_in_catalog	Zc3h7a	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	156	428	43.2203655699	2	3	0	FALSE	618.4525	3996.605	0.154744464364	C	coding	305	915	123	1037	90.0
PB.2631.2	chr16	-	2784	16	novel_not_in_catalog	Zc3h7a	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	137	101.862652626	1	2	0	TRUE	303.025	3996.605	0.0758206027366	C	coding	664	1992	106	2097	40.0
PB.2631.1	chr16	-	3716	23	full-splice_match	Zc3h7a	NM_145931	3823	23	97	10	multi-exon	FALSE	canonical	4	52	1468	80.0062497559	1	0	0	FALSE	3075.1275	3996.605	0.769434932899	C	coding	970	2910	112	3021	20.0
PB.2633.1	chr16	-	2115	12	incomplete-splice_match	Gspt1	ENSMUST00000080030	2898	15	782	1	internal_fragment	FALSE	canonical	4	47	384	44.5084261685	2	1	0	FALSE	836.25	836.25	1.0	A	coding	405	1215	124	1338	30.0
PB.2820.3	chr16	+	1685	8	full-splice_match	Cxadr	ENSMUST00000114229	1668	8	-26	9	multi-exon	FALSE	canonical	4	31	517	78.2112523874	1	1	0	FALSE	450.545	2070.2525	0.217628042956	C	coding	352	1056	103	1158	45.0
PB.2820.2	chr16	+	5466	8	novel_not_in_catalog	Cxadr	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	2	3	1333	86.469647854	13	0	0	TRUE	170.8575	2070.2525	0.0825297880331	C	coding	365	1095	120	1214	5.0
PB.2799.1	chr16	+	1565	2	antisense	novelGene_Pcnp_AS	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	3	5	33	NA	11	0	0	FALSE	9659.985	9659.985	1.0	A	non_coding	NA	NA	NA	NA	85.0
PB.2635.1	chr16	+	5116	11	full-splice_match	Ercc4	NM_015769	6703	11	163	1424	multi-exon	FALSE	canonical	4	18	1138	23.4733891886	17	1	0	FALSE	1464.25	1464.25	1.0	A	coding	906	2718	70	2787	75.0
PB.2615.1	chr16	-	1372	11	full-splice_match	Rogdi	NM_133185	1392	11	16	4	multi-exon	FALSE	canonical	4	39	147	199.471802519	27	1	0	FALSE	2934.5	2934.5	1.0	A	coding	283	849	43	891	0.0
PB.2727.1	chr16	+	5102	1	genic_intron	novelGene_4	novel	NA	NA	NA	NA	no_subtype	FALSE	canonical	NA	NA	NA	NA	5	0	NA	FALSE	102.805	102.805	1.0	A	coding	1067	3201	575	3775	20.0
PB.2608.4	chr16	+	2479	11	full-splice_match	Dnaja3	ENSMUST00000115854	2505	11	14	12	multi-exon	FALSE	canonical	4	85	955	86.9367586237	17	1	0	FALSE	1960.7975	2599.7475	0.754226131576	C	coding	453	1359	25	1383	40.0
PB.2808.2	chr16	+	2035	5	full-splice_match	Cldnd1	NR_045517	2143	5	98	10	multi-exon	FALSE	canonical	4	3255	77	725.616978853	91	1	0	FALSE	18100.365	25673.2525	0.705028122167	C	coding	253	759	96	854	25.0
PB.2795.1	chr16	-	1577	16	incomplete-splice_match	Dzip3	ENSMUST00000114516	3331	31	-1	1755	internal_fragment	FALSE	canonical	0	0	1569	8.66025403784	2	3	0	FALSE	116.25	116.25	1.0	A	coding	451	1353	223	1575	75.0
PB.2781.1	chr16	+	4802	1	incomplete-splice_match	Zbtb20	ENSMUST00000114694	26901	15	12263	9837	mono-exon	FALSE	canonical	NA	NA	NA	NA	10	2	NA	FALSE	941.25	6027.5025	0.156159205243	C	non_coding	NA	NA	NA	NA	80.0
PB.2793.1	chr16	-	2006	1	full-splice_match	Gm4737	ENSMUST00000059524	2081	1	72	3	mono-exon	FALSE	canonical	NA	NA	NA	NA	1	1	NA	FALSE	1134.8225	1134.8225	1.0	A	coding	404	1212	78	1289	80.0
PB.2770.1	chr16	+	2729	2	genic	Cd80	novel	NA	NA	NA	NA	no_subtype	FALSE	non_canonical	0	0	27	NA	4	0	0	TRUE	16.1325	16.1325	1.0	A	non_coding	NA	NA	NA	NA	90.0
PB.2783.1	chr16	+	1488	1	incomplete-splice_match	Zbtb20	ENSMUST00000114694	26901	15	23284	2130	mono-exon	FALSE	canonical	NA	NA	NA	NA	3	5	NA	FALSE	669.0	6027.5025	0.110991243886	C	non_coding	NA	NA	NA	NA	90.0
PB.2613.2	chr16	+	1798	2	novel_in_catalog	Nudt16l1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	652	162	NA	2	1	0	FALSE	263.97	5115.04	0.0516066345522	C	coding	121	363	100	462	15.0
PB.2613.1	chr16	+	1276	3	full-splice_match	Nudt16l1	NM_025839	1269	3	-10	3	multi-exon	FALSE	canonical	4	652	193	308.0	32	0	0	FALSE	4851.07	5115.04	0.948393365448	C	coding	181	543	131	673	10.0
PB.2637.1	chr16	-	2611	22	novel_not_in_catalog	Parn	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	1	1	27	102.362102362	1	2	1	FALSE	1653.43	3924.7525	0.42128261591	C	coding	563	1689	34	1722	25.0
PB.2637.2	chr16	-	2916	24	full-splice_match	Parn	NM_028761	2902	24	-15	1	multi-exon	FALSE	canonical	4	88	333	93.1504159948	74	0	0	FALSE	2271.3225	3924.7525	0.57871738409	C	coding	624	1872	157	2028	25.0
PB.2611.9	chr16	-	2618	1	novel_in_catalog	Cdip1	novel	NA	NA	NA	NA	mono-exon_by_intron_retention/s	FALSE	canonical	NA	NA	NA	NA	8	0	NA	FALSE	414.24	14218.2025	0.0291344844751	C	coding	3	9	349	357	80.0
PB.2611.8	chr16	-	1654	7	novel_not_in_catalog	Cdip1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	canonical	4	10	61	678.863756582	1	1	0	TRUE	82.96	14218.2025	0.00583477412141	C	coding	208	624	241	864	10.0
PB.2789.1	chr16	-	1299	6	full-splice_match	Gtpbp8	NM_025332	1304	6	0	5	multi-exon	FALSE	canonical	4	53	464	25.099800796	2	4	0	FALSE	616.0	616.0	1.0	A	coding	285	855	27	881	30.0
PB.2857.2	chr16	-	1070	5	novel_in_catalog	Hmgn1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	451	74	152.728517311	4	0	0	FALSE	1591.5825	5103.0	0.311891534392	C	non_coding	NA	NA	NA	NA	40.0
PB.2611.1	chr16	-	3876	6	full-splice_match	Cdip1	NM_025670	3898	6	19	3	multi-exon	FALSE	canonical	4	148	416	514.798989898	99	5	0	FALSE	636.105	14218.2025	0.0447387776338	C	coding	208	624	176	799	20.0
PB.2639.1	chr16	+	1341	1	incomplete-splice_match	Bfar	ENSMUST00000069281	2456	6	1111	5	mono-exon	FALSE	canonical	NA	NA	NA	NA	1	3	NA	FALSE	20.89	5812.38	0.00359405269442	C	non_coding	NA	NA	NA	NA	45.0
PB.2611.2	chr16	-	4525	5	novel_in_catalog	Cdip1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	1047	116	276.712847551	29	3	0	FALSE	1151.8825	14218.2025	0.0810146359921	C	coding	117	351	1100	1450	15.0
PB.2611.5	chr16	-	3138	5	novel_in_catalog	Cdip1	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	87	105	599.608205414	1	5	1	FALSE	19.0475	14218.2025	0.00133965597972	C	coding	117	351	1089	1439	30.0
PB.2611.4	chr16	-	2488	6	novel_not_in_catalog	Cdip1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	58	664.833061753	1	3	1	TRUE	3219.085	14218.2025	0.226405904685	C	coding	208	624	166	789	30.0
PB.2611.7	chr16	-	2677	6	novel_not_in_catalog	Cdip1	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	106	567.422241369	1	3	0	TRUE	1450.3075	14218.2025	0.10200357605	C	coding	117	351	1109	1459	0.0
PB.2611.6	chr16	-	2516	6	full-splice_match	Cdip1	XM_006522467	2550	6	31	3	multi-exon	FALSE	canonical	4	87	105	643.377027877	16	0	0	FALSE	4307.895	14218.2025	0.302984501733	C	coding	208	624	195	818	25.0
PB.2607.1	chr16	-	5152	28	full-splice_match	Coro7	ENSMUST00000038552	4296	28	87	-943	multi-exon	TRUE	canonical	4	64	2663	47.8225888049	13	1	0	FALSE	2647.25	2708.5	0.977386007015	C	coding	922	2766	80	2845	30.0
PB.2607.2	chr16	-	2573	4	novel_not_in_catalog	Coro7	novel	NA	NA	NA	NA	shared_donors_acceptors	FALSE	non_canonical	0	0	114	106.174384858	1	2	0	TRUE	61.25	2708.5	0.022613992985	C	coding	123	369	364	732	25.0
PB.2791.1	chr16	-	1376	4	full-splice_match	Tagln3	ENSMUST00000096057	1240	4	-139	3	multi-exon	FALSE	canonical	4	565	899	268.594489891	3	1	0	FALSE	3708.25	3708.25	1.0	A	coding	199	597	442	1038	25.0
PB.2657.3	chr16	+	1694	2	incomplete-splice_match	Mapk1	XM_006522147	2926	9	1224	8	internal_fragment	FALSE	canonical	4	18	101	NA	1	0	0	FALSE	655.96	2036.5025	0.322101249569	C	non_coding	NA	NA	NA	NA	30.0
PB.2657.2	chr16	+	2685	9	full-splice_match	Mapk1	NM_011949	5099	9	238	2176	multi-exon	FALSE	canonical	4	35	303	27.0185121722	6	0	0	FALSE	598.585	2036.5025	0.293927947547	C	coding	358	1074	8	1081	30.0
PB.2657.1	chr16	+	2893	1	incomplete-splice_match	Mapk1	NM_011949	5099	9	2201	6	mono-exon	FALSE	canonical	NA	NA	NA	NA	9	2	NA	FALSE	781.9575	2036.5025	0.383970802884	C	non_coding	NA	NA	NA	NA	20.0
PB.2655.1	chr16	+	2863	18	full-splice_match	Top3b	XM_006521991	2922	18	55	4	multi-exon	TRUE	canonical	4	16	572	37.148351242	18	0	0	FALSE	448.09	1416.2525	0.316391321463	C	coding	862	2586	189	2774	35.0
PB.2655.3	chr16	+	2935	19	full-splice_match	Top3b	XM_006521992	3009	19	67	7	multi-exon	FALSE	canonical	3	3	61	41.5331193146	4	1	0	FALSE	138.4225	1416.2525	0.0977385741596	C	coding	862	2586	264	2849	30.0
PB.2655.2	chr16	+	2790	7	novel_in_catalog	Top3b	novel	NA	NA	NA	NA	combination_of_known_junctions	FALSE	canonical	4	16	560	35.4682957019	3	2	0	FALSE	267.4225	1416.2525	0.188824026789	C	coding	265	795	177	971	75.0
